movieId,title,release_year,item_age_years,is_new_release,num_genres,primary_genre,genre_no_genres_listed,genre_action,genre_adventure,genre_animation,genre_children,genre_comedy,genre_crime,genre_documentary,genre_drama,genre_fantasy,genre_film_noir,genre_horror,genre_imax,genre_musical,genre_mystery,genre_romance,genre_sci_fi,genre_thriller,genre_war,genre_western,num_ratings,avg_rating,median_rating,rating_std,popularity_percentile,recent_avg_rating,rating_trend,num_tags,top_tag,imdb_id,tmdb_id,feature_version,computed_at
11,"American President, The (1995)",1995.0,23.0,False,3,Comedy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,70,3.6714285714285713,4.0,0.9004254802862112,0.9738246766577705,3.3823529411764706,-0.2890756302521007,2,politics,112346,9087.0,20260720103410,2026-07-20T10:34:10.604849
12,Dracula: Dead and Loving It (1995),1995.0,23.0,False,2,Comedy,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19,2.4210526315789473,3.0,1.2501461902817699,0.8641449394374872,3.5,1.0789473684210527,0,,112896,12110.0,20260720103410,2026-07-20T10:34:10.604849
13,Balto (1995),1995.0,23.0,False,3,Adventure,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3.125,3.0,0.6408699444616557,0.7376822007801273,3.0,-0.125,0,,112453,21032.0,20260720103410,2026-07-20T10:34:10.604849
14,Nixon (1995),1995.0,23.0,False,1,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,3.8333333333333335,4.0,0.7071067811865476,0.8578833915007186,3.5,-0.3333333333333335,2,politics,113987,10858.0,20260720103410,2026-07-20T10:34:10.604849
15,Cutthroat Island (1995),1995.0,23.0,False,3,Action,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13,3.0,3.0,1.20761472884912,0.8156436050092384,2.3333333333333335,-0.6666666666666665,0,,112760,1408.0,20260720103410,2026-07-20T10:34:10.604849
16,Casino (1995),1995.0,23.0,False,2,Crime,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,82,3.926829268292683,4.0,0.8858348619181693,0.97967563128721,4.1,0.17317073170731678,1,Mafia,112641,524.0,20260720103410,2026-07-20T10:34:10.604849
17,Sense and Sensibility (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,67,3.7761194029850746,4.0,1.1457549518851469,0.9718230342845412,3.4375,-0.33861940298507465,1,Jane Austen,114388,4584.0,20260720103410,2026-07-20T10:34:10.604849
18,Four Rooms (1995),1995.0,23.0,False,1,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3.7,4.0,0.9090191359227177,0.870098542393759,3.8,0.09999999999999964,0,,113101,5.0,20260720103410,2026-07-20T10:34:10.604849
19,Ace Ventura: When Nature Calls (1995),1995.0,23.0,False,1,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,2.727272727272727,3.0,1.0637957708161232,0.9820365428043523,3.022727272727273,0.29545454545454586,0,,112281,9273.0,20260720103410,2026-07-20T10:34:10.604849
20,Money Train (1995),1995.0,23.0,False,5,Action,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,15,2.5,2.0,0.9819805060619657,0.8346848696366249,2.8333333333333335,0.3333333333333335,0,,113845,11517.0,20260720103410,2026-07-20T10:34:10.604849
21,Get Shorty (1995),1995.0,23.0,False,3,Comedy,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,89,3.49438202247191,4.0,0.8676456585288979,0.9823958119482652,3.227272727272727,-0.2671092951991829,1,Hollywood,113161,8012.0,20260720103410,2026-07-20T10:34:10.604849
22,Copycat (1995),1995.0,23.0,False,5,Crime,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,36,3.2222222222222223,3.0,0.8232726023485646,0.9265551221515089,3.1666666666666665,-0.0555555555555558,1,serial killer,112722,1710.0,20260720103410,2026-07-20T10:34:10.604849
23,Assassins (1995),1995.0,23.0,False,3,Action,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,16,3.125,3.0,1.118033988749895,0.8424861424758776,2.25,-0.875,0,,112401,9691.0,20260720103410,2026-07-20T10:34:10.604849
24,Powder (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,28,3.125,3.0,1.0149347725802838,0.9056148634777254,2.7142857142857144,-0.4107142857142856,0,,114168,12665.0,20260720103410,2026-07-20T10:34:10.604849
25,Leaving Las Vegas (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,76,3.625,4.0,1.1169153951844337,0.9768014781359063,3.3947368421052633,-0.23026315789473673,1,alcoholism,113627,451.0,20260720103410,2026-07-20T10:34:10.604849
26,Othello (1995),1995.0,23.0,False,1,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13,3.5,4.0,0.6123724356957942,0.8156436050092384,3.1666666666666665,-0.3333333333333335,1,Shakespeare,114057,16420.0,20260720103410,2026-07-20T10:34:10.604849
27,Now and Then (1995),1995.0,23.0,False,2,Children,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,3.3333333333333335,3.0,1.1989578808281798,0.7583145144734141,3.75,0.4166666666666665,0,,114011,9263.0,20260720103410,2026-07-20T10:34:10.604849
28,Persuasion (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,11,4.2272727272727275,4.5,0.7862453931068965,0.7902381441182509,3.0,-1.2272727272727275,2,In Netflix queue,114117,17015.0,20260720103410,2026-07-20T10:34:10.604849
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",1995.0,23.0,False,5,Adventure,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,38,4.0131578947368425,4.0,0.8259870598526934,0.9304557585711353,3.9444444444444446,-0.06871345029239784,1,kidnapping,112682,902.0,20260720103410,2026-07-20T10:34:10.604849
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),1995.0,23.0,False,2,Crime,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3.0,4.0,1.7320508075688772,0.5299219872716074,3.0,0.0,0,,115012,37557.0,20260720103410,2026-07-20T10:34:10.604849
31,Dangerous Minds (1995),1995.0,23.0,False,1,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,38,3.1842105263157894,3.0,0.9892739122203291,0.9304557585711353,3.5,0.3157894736842106,2,high school,112792,9909.0,20260720103410,2026-07-20T10:34:10.604849
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),1995.0,23.0,False,3,Mystery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,177,3.983050847457627,4.0,0.7903866737178423,0.9968179018681995,3.9204545454545454,-0.06259630200308175,10,time travel,114746,63.0,20260720103410,2026-07-20T10:34:10.604849
34,Babe (1995),1995.0,23.0,False,2,Children,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,128,3.65234375,4.0,1.0415739788159346,0.9924040238144118,3.171875,-0.48046875,3,Animal movie,112431,9598.0,20260720103410,2026-07-20T10:34:10.604849
36,Dead Man Walking (1995),1995.0,23.0,False,2,Crime,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,67,3.8358208955223883,4.0,0.943028887461601,0.9718230342845412,3.375,-0.46082089552238825,2,Nun,112818,687.0,20260720103410,2026-07-20T10:34:10.604849
38,It Takes Two (1995),1995.0,23.0,False,2,Children,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.125,2.25,0.8539125638299665,0.5981831246150687,2.5,0.375,1,twins,113442,33689.0,20260720103410,2026-07-20T10:34:10.604849
39,Clueless (1995),1995.0,23.0,False,2,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,104,3.293269230769231,3.0,1.0371979076466489,0.9875282282898789,3.480769230769231,0.1875,7,Emma,112697,9603.0,20260720103410,2026-07-20T10:34:10.604849
40,"Cry, the Beloved Country (1995)",1995.0,23.0,False,1,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4.25,4.25,1.0606601717798212,0.42224389242455346,4.25,0.0,2,In Netflix queue,112749,34615.0,20260720103410,2026-07-20T10:34:10.604849
41,Richard III (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,15,3.7,4.0,0.6761234037828133,0.8346848696366249,3.5,-0.20000000000000018,1,Shakespeare,114279,31174.0,20260720103410,2026-07-20T10:34:10.604849
42,Dead Presidents (1995),1995.0,23.0,False,3,Action,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3.0,3.0,0.816496580927726,0.71160952576473,3.0,0.0,0,,112819,11443.0,20260720103410,2026-07-20T10:34:10.604849
43,Restoration (1995),1995.0,23.0,False,1,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3.1875,3.0,0.6512350903146595,0.7376822007801273,3.25,0.0625,1,England,114272,35196.0,20260720103410,2026-07-20T10:34:10.604849
44,Mortal Kombat (1995),1995.0,23.0,False,3,Action,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,46,2.5434782608695654,2.5,1.0843640581594445,0.9488298090741121,2.6818181818181817,0.13833992094861625,0,,113855,9312.0,20260720103410,2026-07-20T10:34:10.604849
45,To Die For (1995),1995.0,23.0,False,3,Comedy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,32,3.3125,3.0,0.8303710791159927,0.916033668651201,3.25,-0.0625,1,Journalism,114681,577.0,20260720103410,2026-07-20T10:34:10.604849
46,How to Make an American Quilt (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,15,3.066666666666667,3.0,1.178174536346478,0.8346848696366249,3.5,0.4333333333333331,1,wedding,113347,11861.0,20260720103410,2026-07-20T10:34:10.604849
47,Seven (a.k.a. Se7en) (1995),1995.0,23.0,False,2,Mystery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,203,3.9753694581280787,4.0,0.9224291201153795,0.9984602750975159,4.13,0.15463054187192116,3,mystery,114369,807.0,20260720103410,2026-07-20T10:34:10.604849
48,Pocahontas (1995),1995.0,23.0,False,5,Animation,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,68,3.1470588235294117,3.0,1.0546939271988995,0.9725928967357832,3.176470588235294,0.02941176470588225,0,,114148,10530.0,20260720103410,2026-07-20T10:34:10.604849
49,When Night Is Falling (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3.0,3.0,0.0,0.1787620611784028,3.0,0.0,0,,114916,8391.0,20260720103410,2026-07-20T10:34:10.604849
50,"Usual Suspects, The (1995)",1995.0,23.0,False,3,Crime,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,204,4.237745098039215,4.5,0.8009211530017211,0.9986142475877643,4.137254901960785,-0.10049019607843057,6,heist,114814,629.0,20260720103410,2026-07-20T10:34:10.604849
52,Mighty Aphrodite (1995),1995.0,23.0,False,3,Comedy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,28,3.4642857142857144,3.25,0.8705954904182011,0.9056148634777254,3.4285714285714284,-0.03571428571428603,2,adoption,113819,11448.0,20260720103410,2026-07-20T10:34:10.604849
53,Lamerica (1994),1994.0,24.0,False,2,Adventure,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,5.0,5.0,0.0,0.42224389242455346,5.0,0.0,0,,110299,49133.0,20260720103410,2026-07-20T10:34:10.604849
54,"Big Green, The (1995)",1995.0,23.0,False,2,Children,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2.3333333333333335,2.0,1.5275252316519468,0.5299219872716074,2.3333333333333335,0.0,0,,112499,26441.0,20260720103410,2026-07-20T10:34:10.604849
55,Georgia (1995),1995.0,23.0,False,1,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,4.0,4.0,0.0,0.1787620611784028,4.0,0.0,0,,113158,97406.0,20260720103410,2026-07-20T10:34:10.604849
57,Home for the Holidays (1995),1995.0,23.0,False,1,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3.0625,3.0,0.8634441002668987,0.7376822007801273,2.75,-0.3125,0,,113321,9089.0,20260720103410,2026-07-20T10:34:10.604849
58,"Postman, The (Postino, Il) (1994)",1994.0,24.0,False,3,Comedy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,37,4.027027027027027,4.0,0.9200388423710553,0.9285567645247382,3.6666666666666665,-0.3603603603603607,1,writing,110877,11010.0,20260720103410,2026-07-20T10:34:10.604849
60,"Indian in the Cupboard, The (1995)",1995.0,23.0,False,3,Adventure,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34,3.235294117647059,3.0,1.0242165824878726,0.9216793266269759,3.0,-0.23529411764705888,0,,113419,11359.0,20260720103410,2026-07-20T10:34:10.604849
61,Eye for an Eye (1996),1996.0,22.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,3.75,4.0,0.8803408430829505,0.6809690002052966,2.5,-1.25,0,,116260,17182.0,20260720103410,2026-07-20T10:34:10.604849
62,Mr. Holland's Opus (1995),1995.0,23.0,False,1,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,80,3.70625,4.0,1.0484882124495105,0.9787004721823034,3.3,-0.40625,1,music,113862,2054.0,20260720103410,2026-07-20T10:34:10.604849
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),1996.0,22.0,False,2,Comedy,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.7142857142857144,3.0,1.14953406710222,0.71160952576473,4.0,1.2857142857142856,0,,116126,10607.0,20260720103410,2026-07-20T10:34:10.604849
64,Two if by Sea (1996),1996.0,22.0,False,2,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,2.2,2.0,0.8366600265340756,0.6449907616505851,2.0,-0.20000000000000018,0,,118002,19760.0,20260720103410,2026-07-20T10:34:10.604849
65,Bio-Dome (1996),1996.0,22.0,False,1,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,2.532258064516129,3.0,1.0562156019721836,0.9132621638267296,2.5714285714285716,0.039170506912442615,0,,115683,9536.0,20260720103410,2026-07-20T10:34:10.604849
66,Lawnmower Man 2: Beyond Cyberspace (1996),1996.0,22.0,False,3,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,2.5,3.0,1.118033988749895,0.7583145144734141,0.75,-1.75,0,,116839,11525.0,20260720103410,2026-07-20T10:34:10.604849
68,French Twist (Gazon maudit) (1995),1995.0,23.0,False,2,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,3.4,3.0,1.140175425099138,0.6449907616505851,4.0,0.6000000000000001,0,,113149,4482.0,20260720103410,2026-07-20T10:34:10.604849
69,Friday (1995),1995.0,23.0,False,1,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3.775,4.0,0.89552983434977,0.870098542393759,3.5,-0.2749999999999999,0,,113118,10634.0,20260720103410,2026-07-20T10:34:10.604849
70,From Dusk Till Dawn (1996),1996.0,22.0,False,4,Action,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,55,3.5090909090909093,4.0,1.0160330862345146,0.9602750975159104,4.0,0.49090909090909074,0,,116367,755.0,20260720103410,2026-07-20T10:34:10.604849
71,Fair Game (1995),1995.0,23.0,False,1,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.7,2.0,0.4472135954999579,0.6449907616505851,1.5,-0.19999999999999996,0,,113010,11859.0,20260720103410,2026-07-20T10:34:10.604849
72,Kicking and Screaming (1995),1995.0,23.0,False,2,Comedy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,3.2142857142857144,4.0,1.2863754913562,0.71160952576473,4.5,1.2857142857142856,0,,113537,28387.0,20260720103410,2026-07-20T10:34:10.604849
73,"Misérables, Les (1995)",1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,13,3.4615384615384617,4.0,0.6910601294852007,0.8156436050092384,3.3333333333333335,-0.1282051282051282,0,,113828,48750.0,20260720103410,2026-07-20T10:34:10.604849
74,Bed of Roses (1996),1996.0,22.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8,4.0,4.0,0.7559289460184544,0.7376822007801273,3.5,-0.5,0,,115644,20927.0,20260720103410,2026-07-20T10:34:10.604849
75,Big Bully (1996),1996.0,22.0,False,2,Comedy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2.2,3.0,1.0954451150103324,0.6449907616505851,1.0,-1.2000000000000002,0,,115676,36929.0,20260720103410,2026-07-20T10:34:10.604849
76,Screamers (1995),1995.0,23.0,False,3,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,15,3.4,3.5,1.1982129550769702,0.8346848696366249,3.5,0.10000000000000009,0,,114367,9102.0,20260720103410,2026-07-20T10:34:10.604849
77,Nico Icon (1995),1995.0,23.0,False,1,Documentary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.0,4.0,0.0,0.1787620611784028,4.0,0.0,0,,113973,124626.0,20260720103410,2026-07-20T10:34:10.604849
78,"Crossing Guard, The (1995)",1995.0,23.0,False,4,Action,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,3,3.3333333333333335,3.0,0.5773502691896258,0.5299219872716074,3.3333333333333335,0.0,0,,112744,27526.0,20260720103410,2026-07-20T10:34:10.604849
79,"Juror, The (1996)",1996.0,22.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,17,2.764705882352941,2.0,1.200490095997562,0.8503387394785465,1.75,-1.0147058823529411,0,,116731,9623.0,20260720103410,2026-07-20T10:34:10.604849
80,"White Balloon, The (Badkonake sefid) (1995)",1995.0,23.0,False,2,Children,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,4.0,4.0,0.0,0.42224389242455346,4.0,0.0,0,,112445,46785.0,20260720103410,2026-07-20T10:34:10.604849
81,Things to Do in Denver When You're Dead (1995),1995.0,23.0,False,3,Crime,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,14,3.107142857142857,3.0,0.7640623068776583,0.8258571135290494,3.0,-0.1071428571428572,0,,114660,400.0,20260720103410,2026-07-20T10:34:10.604849
82,Antonia's Line (Antonia) (1995),1995.0,23.0,False,2,Comedy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,3.875,4.5,1.4820352800890308,0.7376822007801273,3.75,-0.125,0,,112379,880.0,20260720103410,2026-07-20T10:34:10.604849
83,Once Upon a Time... When We Were Colored (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,3.0,3.0,0.0,0.1787620611784028,3.0,0.0,0,,114039,146599.0,20260720103410,2026-07-20T10:34:10.604849
85,Angels and Insects (1995),1995.0,23.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,7,3.857142857142857,5.0,1.5735915849388864,0.71160952576473,5.0,1.1428571428571428,0,,112365,8447.0,20260720103410,2026-07-20T10:34:10.604849
86,White Squall (1996),1996.0,22.0,False,3,Action,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,3.966666666666667,4.0,0.7668736780560658,0.8346848696366249,3.8333333333333335,-0.1333333333333333,0,,118158,10534.0,20260720103410,2026-07-20T10:34:10.604849
87,Dunston Checks In (1996),1996.0,22.0,False,2,Children,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2.5,3.0,0.957427107756338,0.71160952576473,0.5,-2.0,0,,116151,17414.0,20260720103410,2026-07-20T10:34:10.604849
88,Black Sheep (1996),1996.0,22.0,False,1,Comedy,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,3.15625,3.25,1.1792476415070754,0.8424861424758776,2.5,-0.65625,0,,115697,13997.0,20260720103410,2026-07-20T10:34:10.604849
89,Nick of Time (1995),1995.0,23.0,False,2,Action,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,3.25,3.25,0.754615428178118,0.7747382467665777,3.0,-0.25,0,,113972,2086.0,20260720103410,2026-07-20T10:34:10.604849
92,Mary Reilly (1996),1996.0,22.0,False,3,Drama,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,8,2.625,2.5,1.0264362759428507,0.7376822007801273,2.75,0.125,1,Jekyll and Hyde,117002,9095.0,20260720103410,2026-07-20T10:34:10.604849
93,Vampire in Brooklyn (1995),1995.0,23.0,False,3,Comedy,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,9,2.8333333333333335,3.0,1.0307764064044151,0.7583145144734141,2.25,-0.5833333333333335,0,,114825,12158.0,20260720103410,2026-07-20T10:34:10.604849
94,Beautiful Girls (1996),1996.0,22.0,False,3,Comedy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,10,3.95,4.0,0.4972144630058766,0.7747382467665777,3.75,-0.20000000000000018,0,,115639,9283.0,20260720103410,2026-07-20T10:34:10.604849
95,Broken Arrow (1996),1996.0,22.0,False,3,Action,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,84,3.0238095238095237,3.0,1.0146658358604672,0.9803941695750359,2.5238095238095237,-0.5,0,,115759,9208.0,20260720103410,2026-07-20T10:34:10.604849
96,In the Bleak Midwinter (1995),1995.0,23.0,False,2,Comedy,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,3.5,3.5,0.0,0.1787620611784028,3.5,0.0,1,theater,113403,40154.0,20260720103410,2026-07-20T10:34:10.604849
97,"Hate (Haine, La) (1995)",1995.0,23.0,False,2,Crime,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,10,3.9,4.0,0.7378647873726218,0.7747382467665777,3.5,-0.3999999999999999,0,,113247,406.0,20260720103410,2026-07-20T10:34:10.604849
99,Heidi Fleiss: Hollywood Madam (1995),1995.0,23.0,False,1,Documentary,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,5.0,5.0,0.0,0.42224389242455346,5.0,0.0,0,,113283,63076.0,20260720103410,2026-07-20T10:34:10.604849
100,City Hall (1996),1996.0,22.0,False,2,Drama,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14,2.7857142857142856,3.0,0.699293206753068,0.8258571135290494,2.6666666666666665,-0.11904761904761907,0,,115907,11062.0,20260720103410,2026-07-20T10:34:10.604849
101,Bottle Rocket (1996),1996.0,22.0,False,4,Adventure,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,3.782608695652174,4.0,1.0425720702853738,0.8858037363990967,3.1,-0.6826086956521737,3,crime,115734,13685.0,20260720103410,2026-07-20T10:34:10.604849
